,PlayerName,ESPNWidereceiverRating,LongReception,YardReceivingPlays,ReceivingFirstDowns,ReceivingFumbles,ReceivingFumblesLost,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsAfterCatch,ReceivingYardsAtCatch,ReceivingYardsPerGame,Receptions,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointReceivingConversion,TwoPointReceptions,TwoPointReceptionAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerReception
74,Olamide Zaccheaus,838.0,45.0,9.0,25.0,1.0,1.0,61.0,3.0,533.0,189.0,344.0,31.352941513061523,40.0,17.0,2.0,1.058823585510254,3.0,540.0,540.0,-1.0,0.0,0.0,31.764705657958984,31.764705657958984,13.324999809265137
75,Marvin Jones Jr.,864.0,37.0,6.0,30.0,0.0,0.0,81.0,3.0,529.0,95.0,434.0,33.0625,46.0,17.0,0.0,1.125,3.0,529.0,529.0,-1.0,0.0,0.0,33.0625,33.0625,11.5
76,Robert Woods,862.0,41.0,3.0,31.0,0.0,0.0,91.0,2.0,527.0,156.0,371.0,31.0,53.0,17.0,0.0,0.7058823704719543,2.0,527.0,527.0,-1.0,0.0,0.0,31.0,31.0,9.942999839782715
77,Leonard Fournette,993.0,44.0,3.0,26.0,0.0,0.0,83.0,3.0,523.0,563.0,-40.0,32.6875,73.0,17.0,190.0,2.25,6.0,1191.0,1191.0,-1.0,0.0,0.0,74.4375,74.4375,7.164000034332275
78,Jahan Dotson,943.0,61.0,10.0,26.0,0.0,0.0,61.0,7.0,523.0,137.0,386.0,43.58333206176758,35.0,17.0,2.0,3.5,7.0,516.0,516.0,-1.0,1.0,2.0,43.0,43.0,14.942999839782715
79,Dawson Knox,967.0,45.0,8.0,25.0,0.0,0.0,65.0,6.0,517.0,193.0,324.0,34.46666717529297,48.0,16.0,0.0,2.4000000953674316,6.0,517.0,517.0,-1.0,0.0,0.0,34.46666717529297,34.46666717529297,10.770999908447266
80,Jerick McKinnon,1107.0,56.0,6.0,28.0,1.0,1.0,71.0,9.0,512.0,541.0,-29.0,30.117647171020508,56.0,17.0,72.0,3.529411792755127,10.0,803.0,803.0,-1.0,1.0,1.0,47.235294342041016,47.235294342041016,9.142999649047852
81,Hunter Henry,784.0,39.0,10.0,23.0,0.0,0.0,59.0,2.0,509.0,203.0,306.0,29.941177368164062,41.0,17.0,0.0,0.7058823704719543,2.0,509.0,509.0,-1.0,0.0,0.0,29.941177368164062,29.941177368164062,12.414999961853027
82,Juwan Johnson,963.0,41.0,8.0,25.0,0.0,0.0,65.0,7.0,508.0,182.0,326.0,31.75,42.0,17.0,0.0,2.625,7.0,508.0,508.0,-1.0,0.0,0.0,31.75,31.75,12.095000267028809
83,DJ Chark,757.0,51.0,9.0,24.0,0.0,0.0,52.0,3.0,502.0,134.0,368.0,45.6363639831543,30.0,17.0,0.0,1.6363636255264282,3.0,502.0,502.0,-1.0,0.0,0.0,45.6363639831543,45.6363639831543,16.732999801635742
84,Jordan Akins,855.0,46.0,8.0,23.0,1.0,1.0,54.0,5.0,495.0,270.0,225.0,33.0,37.0,15.0,0.0,2.0,5.0,495.0,495.0,-1.0,1.0,2.0,33.0,33.0,13.378000259399414
85,Darnell Mooney,763.0,56.0,7.0,20.0,0.0,0.0,61.0,2.0,493.0,164.0,329.0,41.08333206176758,40.0,17.0,1.0,1.0,2.0,495.0,495.0,-1.0,0.0,1.0,41.25,41.25,12.324999809265137
86,Alvin Kamara,845.0,54.0,3.0,17.0,2.0,2.0,77.0,2.0,490.0,465.0,25.0,32.66666793823242,57.0,17.0,223.0,1.600000023841858,4.0,1387.0,1387.0,-1.0,0.0,0.0,92.46666717529297,92.46666717529297,8.595999717712402
87,Terrace Marshall Jr.,665.0,43.0,10.0,23.0,2.0,0.0,47.0,1.0,490.0,132.0,358.0,35.0,28.0,17.0,0.0,0.4285714328289032,1.0,490.0,490.0,-1.0,0.0,0.0,35.0,35.0,17.5
88,Rashid Shaheed,698.0,68.0,6.0,18.0,1.0,0.0,34.0,2.0,488.0,170.0,318.0,40.66666793823242,28.0,12.0,4.0,1.5,3.0,545.0,545.0,-1.0,0.0,0.0,45.41666793823242,45.41666793823242,17.429000854492188
89,Noah Fant,876.0,51.0,4.0,24.0,0.0,0.0,63.0,4.0,486.0,221.0,265.0,28.58823585510254,50.0,17.0,0.0,1.4117647409439087,4.0,486.0,486.0,-1.0,0.0,0.0,28.58823585510254,28.58823585510254,9.720000267028809
90,Nico Collins,736.0,58.0,8.0,21.0,0.0,0.0,66.0,2.0,481.0,163.0,318.0,48.099998474121094,37.0,17.0,0.0,1.2000000476837158,2.0,481.0,481.0,-1.0,0.0,0.0,48.099998474121094,48.099998474121094,13.0
91,Josh Reynolds,774.0,31.0,8.0,25.0,0.0,0.0,59.0,3.0,479.0,115.0,364.0,34.21428680419922,38.0,17.0,0.0,1.2857142686843872,3.0,479.0,479.0,-1.0,0.0,0.0,34.21428680419922,34.21428680419922,12.604999542236328
92,Robert Tonyan,805.0,24.0,6.0,20.0,0.0,0.0,67.0,2.0,470.0,230.0,240.0,27.647058486938477,53.0,17.0,0.0,0.7058823704719543,2.0,470.0,470.0,-1.0,0.0,0.0,27.647058486938477,27.647058486938477,8.868000030517578
93,Greg Dortch,797.0,47.0,5.0,19.0,0.0,0.0,64.0,2.0,467.0,293.0,174.0,29.1875,52.0,17.0,7.0,0.75,2.0,511.0,511.0,-1.0,0.0,0.0,31.9375,31.9375,8.980999946594238
94,Demarcus Robinson,768.0,31.0,4.0,23.0,2.0,1.0,75.0,2.0,458.0,150.0,308.0,26.941177368164062,48.0,17.0,0.0,0.7058823704719543,2.0,458.0,458.0,-1.0,0.0,0.0,26.941177368164062,26.941177368164062,9.541999816894531
95,Chase Claypool,716.0,31.0,7.0,24.0,1.0,1.0,79.0,1.0,451.0,143.0,308.0,30.066667556762695,46.0,17.0,10.0,0.4000000059604645,2.0,511.0,510.0,-1.0,0.0,0.0,34.0,34.06666564941406,9.803999900817871
96,Chigoziem Okonkwo,715.0,48.0,7.0,22.0,0.0,0.0,46.0,3.0,450.0,254.0,196.0,26.47058868408203,32.0,17.0,3.0,1.058823585510254,3.0,452.0,452.0,-1.0,1.0,1.0,26.58823585510254,26.58823585510254,14.062999725341797
97,Elijah Moore,666.0,42.0,8.0,22.0,1.0,0.0,65.0,1.0,446.0,111.0,335.0,27.875,37.0,17.0,5.0,0.375,1.0,451.0,451.0,-1.0,0.0,0.0,28.1875,28.1875,12.053999900817871
98,Austin Hooper,719.0,24.0,2.0,28.0,0.0,0.0,60.0,2.0,444.0,134.0,310.0,26.117647171020508,41.0,17.0,0.0,0.7058823704719543,2.0,444.0,444.0,-1.0,0.0,0.0,26.117647171020508,26.117647171020508,10.829000473022461
99,Treylon Burks,644.0,51.0,8.0,19.0,0.0,0.0,54.0,1.0,444.0,161.0,283.0,40.3636360168457,33.0,17.0,4.0,1.0909091234207153,2.0,491.0,491.0,-1.0,0.0,0.0,44.6363639831543,44.6363639831543,13.454999923706055
100,Joe Mixon,811.0,35.0,4.0,16.0,0.0,0.0,75.0,2.0,441.0,468.0,-27.0,31.5,60.0,16.0,210.0,3.857142925262451,9.0,1255.0,1255.0,-1.0,0.0,0.0,89.64286041259766,89.64286041259766,7.349999904632568
101,Kendrick Bourne,644.0,41.0,6.0,22.0,2.0,0.0,48.0,1.0,434.0,145.0,289.0,27.125,35.0,17.0,6.0,0.375,1.0,473.0,473.0,-1.0,0.0,0.0,29.5625,29.5625,12.399999618530273
102,Russell Gage,856.0,23.0,3.0,31.0,1.0,1.0,70.0,5.0,426.0,171.0,255.0,32.769229888916016,51.0,17.0,0.0,2.307692289352417,5.0,426.0,426.0,-1.0,1.0,2.0,32.769229888916016,32.769229888916016,8.352999687194824
103,Romeo Doubs,740.0,26.0,7.0,20.0,2.0,1.0,67.0,3.0,425.0,196.0,229.0,32.69230651855469,42.0,17.0,1.0,1.384615421295166,3.0,436.0,436.0,-1.0,0.0,0.0,33.53845977783203,33.53845977783203,10.119000434875488
104,Michael Gallup,759.0,27.0,4.0,25.0,0.0,0.0,74.0,4.0,424.0,107.0,317.0,30.285715103149414,39.0,17.0,0.0,1.7142857313156128,4.0,424.0,424.0,-1.0,0.0,0.0,30.285715103149414,30.285715103149414,10.871999740600586
105,Isaiah McKenzie,773.0,30.0,4.0,27.0,0.0,0.0,65.0,4.0,423.0,128.0,295.0,28.200000762939453,42.0,16.0,9.0,2.0,5.0,478.0,478.0,-1.0,0.0,0.0,31.866666793823242,31.866666793823242,10.071000099182129
106,Rhamondre Stevenson,801.0,40.0,3.0,13.0,2.0,0.0,88.0,1.0,421.0,474.0,-53.0,24.764705657958984,69.0,17.0,210.0,2.117647171020508,6.0,1461.0,1461.0,-1.0,0.0,2.0,85.94117736816406,85.94117736816406,6.10099983215332
107,Foster Moreau,655.0,33.0,7.0,24.0,0.0,0.0,54.0,2.0,420.0,237.0,183.0,28.0,33.0,17.0,0.0,0.800000011920929,2.0,422.0,422.0,-1.0,0.0,0.0,28.133333206176758,28.133333206176758,12.72700023651123
108,Randall Cobb,622.0,40.0,7.0,19.0,1.0,0.0,50.0,1.0,417.0,185.0,232.0,32.07692337036133,34.0,17.0,0.0,0.4615384638309479,1.0,417.0,417.0,-1.0,0.0,0.0,32.07692337036133,32.07692337036133,12.265000343322754
109,Trent Sherfield,637.0,75.0,5.0,18.0,0.0,0.0,51.0,2.0,417.0,145.0,272.0,24.52941131591797,30.0,17.0,0.0,0.7058823704719543,2.0,417.0,417.0,-1.0,0.0,0.0,24.52941131591797,24.52941131591797,13.899999618530273
110,Jauan Jennings,626.0,44.0,3.0,23.0,1.0,0.0,56.0,1.0,416.0,176.0,240.0,26.0,35.0,17.0,0.0,0.375,1.0,416.0,416.0,-1.0,0.0,0.0,26.0,26.0,11.88599967956543
