,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
202,D.J. Jones,DT,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,14.0,0.0,22.0,6.0,1.0,3.0,14.0,17.0,34.0,0.0,0.0,0.0
203,Arthur Maulet,CB,12.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,12.0,0.0,38.0,5.0,4.0,2.0,9.0,17.0,59.0,0.0,0.0,0.0
204,Cody Barton,LB,5.5,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,2.0,8.0,0.0,84.0,6.5,6.0,4.0,12.0,17.0,136.0,0.0,0.0,0.0
205,Kevin Givens,DT,0.0,7.5,1.399999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,15.0,0.0,11.0,6.5,7.0,7.0,21.0,17.0,20.0,0.0,0.0,0.0
206,Boogie Basham,DE,21.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,2.0,3.0,0.0,9.0,2.5,0.0,1.0,3.0,16.0,19.0,0.0,0.0,0.0
207,Jordan Elliott,DT,0.0,7.0,3.3329999446868896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,14.0,0.0,19.0,6.0,10.0,5.0,20.0,17.0,36.0,0.0,0.0,0.0
208,Brandon Jones,S,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,30.0,0.0,26.0,1.5,0.0,1.0,17.0,17.0,49.0,0.0,0.0,0.0
209,Jonathon Cooper,LB,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,13.0,0.0,23.0,1.5,0.0,2.0,13.0,17.0,48.0,0.0,0.0,0.0
210,Julian Okwara,LB,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,12.0,0.0,10.0,2.0,4.0,3.0,16.0,17.0,17.0,0.0,0.0,0.0
211,Adetokunbo Ogundeji,LB,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,19.0,4.5,2.0,3.0,3.0,17.0,42.0,0.0,0.0,0.0
