,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
183,Jaelan Phillips,LB,0.0,5.428999900817871,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,25.0,0.0,7.0,38.0,0.0,37.0,5.5,6.0,8.0,31.0,17.0,61.0,0.0,0.0,0.0
184,Marcus Maye,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,17.0,60.0,0.0,0.0,0.0
185,Mike Hilton,CB,5.0,0.0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,48.0,9.0,5.0,4.0,2.0,16.0,60.0,0.0,0.0,0.0
186,Javon Hargrave,DT,0.0,6.817999839782715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,11.0,75.0,0.0,37.0,4.5,0.0,10.0,75.0,17.0,60.0,0.0,0.0,0.0
187,Jabrill Peppers,S,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.5,2.0,2.0,1.0,17.0,60.0,0.0,0.0,0.0
188,Sam Hubbard,DE,0.0,6.077000141143799,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,6.5,39.5,0.0,34.0,11.0,14.0,11.0,44.0,16.0,60.0,0.0,0.0,0.0
189,Myles Garrett,DE,0.0,5.688000202178955,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,16.0,91.0,0.0,37.0,8.5,12.0,18.0,85.0,17.0,60.0,0.0,0.0,0.0
190,Chandon Sullivan,CB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,45.0,2.5,2.0,2.0,1.0,17.0,60.0,0.0,0.0,0.0
191,Johnathan Abram,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,17.0,60.0,0.0,0.0,0.0
192,Matthew Judon,LB,0.0,6.61299991607666,1.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,15.5,102.5,0.0,36.0,7.0,4.0,14.0,99.0,17.0,60.0,0.0,0.0,0.0
193,Paulson Adebo,CB,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,4.0,2.0,4.0,17.0,60.0,0.0,0.0,0.0
194,Pat Surtain II,CB,-1.5,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,46.0,0.5,5.0,2.0,5.0,17.0,60.0,0.0,0.0,0.0
195,Preston Smith,LB,0.0,7.5289998054504395,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,8.5,64.0,0.0,38.0,9.0,8.0,9.0,49.0,17.0,59.0,0.0,0.0,0.0
196,Deatrich Wise Jr.,DE,0.0,6.199999809265137,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.5,46.5,0.0,33.0,3.5,8.0,7.0,36.0,17.0,59.0,0.0,0.0,0.0
197,Leonard Floyd,LB,0.0,7.111000061035156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,64.0,0.0,31.0,4.0,1.0,10.0,64.0,17.0,59.0,0.0,0.0,0.0
198,Harrison Phillips,DT,0.0,4.666999816894531,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.5,7.0,0.0,28.0,9.5,3.0,3.0,7.0,17.0,59.0,0.0,0.0,0.0
199,Arthur Maulet,CB,12.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,12.0,0.0,38.0,5.0,4.0,2.0,9.0,17.0,59.0,0.0,0.0,0.0
200,Myles Hartsfield,CB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,44.0,0.5,2.0,2.0,1.0,17.0,59.0,0.0,0.0,0.0
201,Luke Masterson,LB,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,3.5,5.0,4.0,4.0,17.0,59.0,0.0,0.0,0.0
202,Trevon Diggs,CB,3.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,0.0,0.0,0.0,17.0,59.0,0.0,0.0,0.0
203,Micah McFadden,LB,0.0,8.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,36.0,6.5,7.0,6.0,23.0,17.0,59.0,0.0,0.0,0.0
204,Anthony Barr,LB,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,9.0,0.0,35.0,4.5,4.0,2.0,13.0,17.0,58.0,0.0,0.0,0.0
205,Lorenzo Carter,LB,28.0,6.5,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,12.0,0.0,4.0,26.0,0.0,29.0,4.0,12.0,6.0,28.0,17.0,58.0,0.0,0.0,0.0
206,Darnell Savage,S,75.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,6.0,2.0,6.0,17.0,58.0,0.0,0.0,0.0
207,Alohi Gilman,S,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,17.0,58.0,0.0,0.0,0.0
208,Marco Wilson,CB,25.66699981689453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,44.0,2.0,2.0,2.0,2.0,17.0,58.0,0.0,0.0,0.0
209,CJ Henderson,CB,37.0,0.0,1.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,50.0,2.5,3.0,2.0,3.0,17.0,58.0,0.0,0.0,0.0
210,Lamarcus Joyner,S,10.333000183105469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,30.0,1.5,0.0,0.0,0.0,17.0,57.0,0.0,0.0,0.0
211,Jamel Dean,CB,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,17.0,57.0,0.0,0.0,0.0
212,Dane Jackson,CB,6.5,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,6.0,1.0,6.0,16.0,57.0,0.0,0.0,0.0
213,Josh Allen,LB,0.0,6.428999900817871,3.1429998874664307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,7.0,45.0,0.0,35.0,9.5,22.0,11.0,46.0,17.0,57.0,0.0,0.0,0.0
214,Will Harris,CB,0.0,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,44.0,2.5,5.0,2.0,3.0,17.0,57.0,0.0,0.0,0.0
215,Asante Samuel Jr.,CB,5.5,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3.0,1.0,3.0,17.0,57.0,0.0,0.0,0.0
216,Eric Rowe,CB,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,0.0,42.0,2.0,6.0,4.0,9.0,17.0,56.0,0.0,0.0,0.0
217,Sebastian Joseph-Day,DT,4.0,8.0,1.7139999866485596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,16.0,1.0,27.0,11.0,12.0,9.0,26.0,17.0,56.0,0.0,0.0,0.0
218,Jaire Alexander,CB,11.800000190734863,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,16.0,4.0,11.0,17.0,56.0,0.0,0.0,0.0
219,DaVon Hamilton,DT,0.0,2.799999952316284,1.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.5,7.0,0.0,27.0,7.0,4.0,5.0,10.0,17.0,56.0,0.0,0.0,0.0
220,Darius Slay,CB,5.666999816894531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,17.0,55.0,0.0,0.0,0.0
221,Quinnen Williams,DT,0.0,8.208000183105469,3.3329999446868896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,28.0,0.0,12.0,98.5,0.0,35.0,5.5,10.0,12.0,83.0,17.0,55.0,0.0,0.0,0.0
222,Cam Taylor-Britt,CB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,1.0,1.0,1.0,16.0,55.0,0.0,0.0,0.0
223,Tre'von Moehrig,S,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,1.5,4.0,2.0,4.0,17.0,55.0,0.0,0.0,0.0
224,Jeffery Simmons,DT,0.0,8.666999816894531,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,7.5,65.0,0.0,25.0,9.0,16.0,9.0,63.0,17.0,54.0,0.0,0.0,0.0
225,DaRon Bland,CB,3.799999952316284,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,1.0,2.0,17.0,54.0,0.0,0.0,0.0
226,Yetur Gross-Matos,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
227,Kenny Clark,DT,0.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,24.0,0.0,27.0,5.5,3.0,5.0,17.0,17.0,53.0,0.0,0.0,0.0
